No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,LATITUD,LONGITUD
25,SAN CRISTOBAL,METROPOLITANO,DEPORTIVO PRIMERO DE MAYO,Carrera 5 Bis #17-14,4.5744067,-74.088297
26,SAN CRISTOBAL,ZONAL,GAITAN CORTES,Diagonal 31C Sur #5A-20 Este,4.5579499,-74.0895247
27,SAN CRISTOBAL,ZONAL,LA VICTORIA,Carrera 2 Este con Calle 37a Bis Sur,4.5547732,-74.0951778
28,SAN CRISTOBAL,ZONAL,MORALBA,Calle 42c Sur con Carrera 16b Este,4.5441366,-74.0807094
29,SAN CRISTOBAL,METROPOLITANO,SAN CRISTOBAL,Carrera 3 Este con Calle 17A Sur,4.5727867,-74.0856953
30,SAN CRISTOBAL,VECINAL,URBANIZACIÓN ANTIOQUIA,Transversal 8 Este con Carrera 6b Este,4.5407264,-74.09182349999999
31,SAN CRISTOBAL,ZONAL,VILLA DE LOS ALPES,Carrera 3b con Diagonal 33c Sur,4.5622917,-74.0981006
32,USME,VECINAL,ALFONSO LOPEZ SECTOR LA ALBORADA,Carrera 5g Bis Este con Calle 93 Sur,4.498069399999999,-74.10449779999999
33,USME,VECINAL,CIUDAD NUEVO MILENIO I,"Carrera 11 con Calle 67a Bis Sur, Usme",4.530439,-74.1144102
34,USME,VECINAL,CIUDADELA NUEVO USME I,"Carrera 3 Bis A con Calle 137 C Sur, Usme",4.4713137,-74.1260595
35,USME,ZONAL,EL VIRREY SUR,Calle 93 Sur con Carrera 3a Este,4.5015751,-74.1116681
36,USME,ZONAL,FAMACO,Calle 91 Sur con Carrera 5A,4.5019153,-74.1099291
37,USME,ZONAL,LA ANDREA,Carrera 1h Bis A Este con Calle 79 Sur,4.509635,-74.1107673
38,USME,ZONAL,LA AURORA II,Calle 71 F Sur con Carrera 14v,4.5200078,-74.1221568
39,USME,VECINAL,MIRAVALLE,Carrera 14C con Calle 76 Sur,4.5133937,-74.11827889999999
40,USME,ZONAL,SAN CAYETANO,Calle 74 Sur con Diagonal 74a Bis Sur,4.517428799999999,-74.09023719999999
41,USME,ZONAL,VALLES DE CAFAM,Diagonal 92 Sur con Calle 92 Sur,4.5084772,-74.1188675
42,USME,ZONAL,VILLA ALEMANA,Diagonal 100 Bis Sur con Carrera 5 Este,4.4926218,-74.1100725
43,TUNJUELITO,METROPOLITANO,CEFE EL TUNAL,"Carrera 56 sur #23-49,Bogota",4.5709285,-74.1388126
44,TUNJUELITO,METROPOLITANO,EL TUNAL,"Carrera 56 sur #23-49,Bogota",4.5709285,-74.1388126
45,TUNJUELITO,ZONAL,NUEVO MUZU,Carrera 61B con Diagonal 52b Sur,4.5857017,-74.1476306
46,TUNJUELITO,VECINAL,URBANIZACIÓN LA LAGUNA,Carrera 53A #48-24,4.7339603,-74.0543234
47,TUNJUELITO,VECINAL,URBANIZACIÓN LAS LAGUNETA,Diagonal 49 Sur #56-1,4.5926231,-74.1442738
48,TUNJUELITO,VECINAL,URBANIZACIÓN TUNJUELITO,Carrera 12C #59-05,10.9042993,-74.8103379
49,BOSA,ZONAL,AUTOPISTA SUR (PAVCO),Carrera 72 con Calle 57r Sur,4.596062,-74.16443149999999
50,BOSA,ZONAL,CAMPO VERDE,Carrera 91 # 83-85 S,4.754002799999999,-74.079195
51,BOSA,ZONAL,CLARELANDIA,Calle 58J Sur #80D-10,4.6115343,-74.1804567
52,BOSA,METROPOLITANO,EL RECREO,Carrera 102 con Calle 69a Sur,4.6370035,-74.2030043
53,BOSA,ZONAL,LAURELES NARANJOS,Carrera 80k con Calle 70 Bis Sur,4.6073901,-74.19220949999999
54,BOSA,ZONAL,PALESTINA,Calle 68 Sur #81G-09,4.612312999999999,-74.1915487
55,BOSA,ZONAL,PARQUE DEL RIO (SAN JOSE DE MARYLAND),"Calle 77 Sur con Calle 81 Sur, Bosa",4.6152671,-74.20216300000001
56,BOSA,METROPOLITANO,PORVENIR,Calle 54 Sur #98-32,4.640592,-74.1890601
57,BOSA,ZONAL,TIBANICA,Calle 74 Sur #77G-05,4.6000039,-74.1998061
58,BOSA,METROPOLITANO,TIMIZA (SECTOR VILLA DEL RIO),Calle 55A Sur #66-50,4.582974099999999,-74.1420026
59,BOSA,VECINAL,URBANIZACIÓN CHICALA LOTE A,Calle 55 Sur #86A-22,4.622455,-74.1817492
60,BOSA,ZONAL,URBANIZACION LA ESPERANZA,Carrera 80J #75 Sur 40,4.6101063,-74.2038616
61,BOSA,VECINAL,URBANIZACIÓN PORTAL DEL SOL,Carrera 98B #73-80 sur,4.6319307,-74.2052988
62,BOSA,VECINAL,URBANIZACIÓN SANTIAGO DE ATALAYAS,Carrera 98D con Calle 61a Sur Con,4.6363378,-74.1980808
